,city,latitude,date,max temp,humidity,cloudiness,wind speed
300,cap malheureux,-19.98,01-12-2019 19:00:00,299.15,78.0,40.0,5.1
302,wuwei,37.93,01-12-2019 19:21:06,252.772,53.0,0.0,0.88
303,byron bay,-28.65,01-12-2019 18:30:00,303.15,55.0,75.0,6.7
304,huangmei,30.1,01-12-2019 19:21:06,276.047,100.0,56.0,1.61
305,kushuhum,47.72,01-12-2019 19:00:00,270.15,92.0,75.0,3.0
306,muswellbrook,-32.27,01-12-2019 19:21:07,299.872,81.0,0.0,3.51
307,vallenar,-28.58,01-12-2019 19:21:07,289.847,71.0,0.0,0.98
308,poum,41.28,01-12-2019 19:21:07,255.947,64.0,0.0,0.48
309,srednekolymsk,67.46,01-12-2019 19:21:08,243.872,61.0,92.0,1.38
310,abu dhabi,24.47,01-12-2019 19:00:00,290.15,82.0,40.0,0.5
312,verkhnevilyuysk,63.45,01-12-2019 19:21:08,246.622,70.0,44.0,2.58
313,iqaluit,63.75,01-12-2019 19:00:00,241.15,67.0,5.0,8.2
314,parry sound,45.34,01-12-2019 19:21:12,254.372,70.0,0.0,2.46
315,umm lajj,25.02,01-12-2019 19:21:12,293.272,100.0,36.0,3.16
316,varhaug,58.61,01-12-2019 18:50:00,280.15,87.0,75.0,5.1
317,alofi,-19.06,01-12-2019 19:00:00,302.15,70.0,44.0,6.2
318,blind river,46.19,01-12-2019 18:56:00,258.15,82.0,1.0,1.61
319,faanui,-16.48,01-12-2019 19:21:13,300.847,100.0,92.0,10.26
320,calabar,4.98,01-12-2019 19:21:13,299.197,90.0,12.0,3.18
321,gat,14.69,01-12-2019 19:00:00,295.15,83.0,0.0,5.1
322,henties bay,-22.12,01-12-2019 19:21:14,288.897,100.0,0.0,1.61
323,kahului,20.89,01-12-2019 18:56:00,300.35,60.0,40.0,6.7
325,nikolskoye,59.7,01-12-2019 19:00:00,264.15,100.0,20.0,4.0
326,basco,40.33,01-12-2019 18:55:00,272.15,92.0,90.0,4.1
327,creel,27.75,01-12-2019 19:21:15,282.347,41.0,0.0,1.93
328,bam,29.11,01-12-2019 19:21:15,269.547,64.0,0.0,1.06
329,barmer,25.74,01-12-2019 19:21:15,286.647,88.0,76.0,4.81
331,havre-saint-pierre,50.23,01-12-2019 18:00:00,267.15,67.0,90.0,4.6
333,grindavik,63.84,01-12-2019 19:00:00,274.15,86.0,40.0,5.1
335,dalbandin,28.9,01-12-2019 19:21:16,275.972,77.0,0.0,2.83
336,scalea,39.82,01-12-2019 19:21:16,280.972,100.0,0.0,6.06
337,gariaband,20.63,01-12-2019 19:21:17,283.397,87.0,0.0,1.36
338,havoysund,71.0,01-12-2019 18:50:00,272.15,80.0,80.0,8.2
339,mezhdurechenskiy,59.59,01-12-2019 19:21:17,262.022,81.0,88.0,3.48
340,buzmeyin,38.05,01-12-2019 19:21:17,268.647,61.0,32.0,1.16
341,goderich,43.74,01-12-2019 19:17:18,266.272,80.0,64.0,4.53
342,abu kamal,34.45,01-12-2019 19:21:18,277.372,82.0,0.0,5.03
343,easley,34.83,01-12-2019 19:15:00,275.35,100.0,90.0,1.5
344,maloy,1.0,01-12-2019 19:21:18,300.397,76.0,32.0,1.28
345,santiago del estero,-27.8,01-12-2019 19:21:18,299.222,67.0,36.0,2.78
346,albanel,48.88,01-12-2019 18:00:00,256.15,77.0,90.0,3.31
347,kununurra,-15.77,01-12-2019 19:00:00,303.15,62.0,68.0,1.0
348,zhicheng,35.04,01-12-2019 19:21:19,266.497,83.0,8.0,2.46
349,simoes,-7.6,01-12-2019 19:21:19,302.097,38.0,64.0,3.51
350,grand-santi,4.27,01-12-2019 19:21:19,295.022,100.0,68.0,1.21
352,hachinohe,40.47,01-12-2019 19:21:20,272.222,67.0,68.0,2.78
353,maragogi,-9.01,01-12-2019 19:21:20,296.772,100.0,80.0,3.03
354,souillac,45.6,01-12-2019 18:30:00,282.15,93.0,90.0,3.1
355,tombouctou,16.77,01-12-2019 19:19:03,290.972,23.0,36.0,4.81
356,walvis bay,-22.95,01-12-2019 19:00:00,289.15,87.0,0.0,2.6
357,airai,-8.93,01-12-2019 19:21:21,299.122,73.0,8.0,0.43
358,lasa,34.92,01-12-2019 17:50:00,286.15,71.0,75.0,6.7
359,emilio carranza,19.97,01-12-2019 19:21:21,295.522,77.0,48.0,1.01
360,kuching,1.56,01-12-2019 18:30:00,297.15,100.0,75.0,1.21
361,mudanya,40.38,01-12-2019 18:50:00,277.15,69.0,75.0,7.2
362,mount isa,-20.73,01-12-2019 18:30:00,309.15,23.0,0.0,7.7
363,rawson,-43.3,01-12-2019 19:21:22,295.797,24.0,20.0,3.53
364,saiki,32.95,01-12-2019 19:00:00,283.15,87.0,75.0,3.1
366,alice springs,-23.7,01-12-2019 18:30:00,311.15,15.0,0.0,7.2
367,colomi,-17.34,01-12-2019 19:00:00,293.15,49.0,75.0,4.1
368,santo antonio do taua,-1.15,01-12-2019 19:00:00,297.15,94.0,40.0,2.1
369,inongo,-1.93,01-12-2019 19:21:23,296.222,97.0,24.0,1.11
370,sungaipenuh,-2.08,01-12-2019 19:21:23,291.747,95.0,32.0,0.36
371,maiduguri,11.84,01-12-2019 19:21:24,289.597,61.0,0.0,1.36
372,harper,30.3,01-12-2019 18:55:00,282.35,66.0,1.0,3.1
373,meulaboh,4.14,01-12-2019 19:21:24,298.197,100.0,56.0,2.93
374,vila do maio,15.13,01-12-2019 18:00:00,294.15,73.0,75.0,2.1
375,price,39.6,01-12-2019 18:53:00,271.45,71.0,1.0,1.5
