,city,latitude,date,max temp,humidity,cloudiness,wind speed
421,ilulissat,69.22,01-12-2019,-7.61,52.0,75.0,4.7
422,arbagar,51.94,01-12-2019,-3.43,72.0,76.0,4.5
423,santiago,-33.44,01-12-2019,62.6,63.0,0.0,9.17
424,coihaique,-45.58,01-12-2019,48.2,66.0,0.0,2.24
426,ulaangom,49.98,01-12-2019,-4.87,66.0,12.0,4.38
427,tres arroyos,-38.38,01-12-2019,63.54,97.0,88.0,10.13
428,bridlington,54.08,01-12-2019,51.8,76.0,64.0,18.34
429,ipojuca,-8.4,01-12-2019,75.2,88.0,75.0,4.7
430,caconda,-13.73,01-12-2019,61.74,63.0,24.0,7.4
431,menongue,-14.66,01-12-2019,83.16,21.0,92.0,6.85
432,moengo,5.62,01-12-2019,75.78,81.0,44.0,3.71
433,juneau,58.3,01-12-2019,35.06,95.0,90.0,3.38
434,verkhoyansk,67.55,01-12-2019,-50.23,0.0,12.0,2.59
435,kourou,5.16,01-12-2019,75.2,83.0,20.0,10.36
436,mana,43.52,01-12-2019,28.4,92.0,75.0,2.24
437,key west,47.93,01-12-2019,26.6,92.0,90.0,8.05
438,gizo,31.8,01-12-2019,53.6,54.0,0.0,6.93
439,magdalena,-13.26,01-12-2019,72.09,100.0,76.0,3.76
441,bayir,37.27,01-12-2019,44.6,87.0,75.0,5.82
442,altamira,-3.2,01-12-2019,73.8,95.0,48.0,3.53
443,marawi,8.0,01-12-2019,79.11,70.0,88.0,3.38
444,novo aripuana,-5.12,01-12-2019,76.5,90.0,12.0,1.81
445,dali,25.6,01-12-2019,48.96,79.0,0.0,1.97
446,erzin,36.95,01-12-2019,48.2,66.0,40.0,14.99
